video_id,datetime,title
qPN_XZcJf_s,2025-05-05T04:01:03Z,"Reinforcement Learning with Human Feedback (RLHF), Clearly Explained!!!"
DVGmsnxB2UQ,2025-04-14T04:00:27Z,Reinforcement Learning with Neural Networks: Mathematical Details
9hbQieQh7-o,2025-04-07T04:00:17Z,Reinforcement Learning with Neural Networks: Essential Concepts
Z-T0iJEXiwM,2025-03-31T04:00:25Z,Reinforcement Learning: Essential Concepts
_kstkMF-lQQ,2025-02-12T14:20:19Z,StatQuest on DeepLearning.AI!!! Check out my short course on attention!
fivdgj5w0K0,2025-02-06T19:12:02Z,StatQuest with Josh Starmer is live!
qJrmQe8TOTw,2024-10-10T04:04:08Z,Luis Serrano + Josh  Starmer Q&amp;A Livestream!!!
DkmfIQRDyXc,2024-09-09T04:00:17Z,Human Stories in AI: Nana Janashia@TechWorld With Nana
0QOm7Sn5uwQ,2024-09-04T04:00:00Z,A few more lessons from my Pop!
wIGOnM6Cf_E,2024-07-29T04:00:38Z,Human Stories in AI: Abbas Merchant@Matics Analytics
jp_NcF9Oagk,2024-07-13T04:14:01Z,Luis Serrano + Jay Alammar + Josh  Starmer Q&amp;A Livestream!!!
C9QSpl5nmrY,2024-07-01T04:00:05Z,Coding a ChatGPT Like Transformer From Scratch in PyTorch
m8fvdRZb5CE,2024-06-17T04:00:34Z,Human Stories in AI: Amy Finnegan
QhWZq8oBpVw,2024-06-03T04:00:15Z,Human Stories in AI: Xavier Moyá
JV0S5f89-Q4,2024-05-20T04:00:10Z,Human Stories in AI: Tommy Tang
UC5jflMmubs,2024-05-11T04:01:07Z,Luis Serrano + Josh Starmer Q&amp;A Livestream!!!
Oekl7K1iwxY,2024-04-29T11:50:30Z,Human Stories in AI: Simon Stochholm
iujLN48gumk,2024-04-26T04:00:31Z,Log_e Song - Official Lyric Video
KphmOJnLAdI,2024-04-08T04:00:09Z,"The matrix math behind transformer neural networks, one step at a time!!!"
l2hro8DemsM,2024-04-01T04:00:26Z,Human Stories in AI: Fabio Urbina
fx0GGAANIus,2024-03-18T04:00:18Z,Human Stories in AI: Khushi Jain
lA2baUE00uY,2024-03-04T07:00:17Z,Human Stories in AI: Achal Dixit
QdXF69-EGEI,2024-02-19T12:41:38Z,Human Stories in AI: Rick Marks
ZTt9gsGcdDo,2023-12-11T05:00:25Z,"Essential Matrix Algebra for Neural Networks, Clearly Explained!!!"
Qf06XDYXCXI,2023-11-06T13:03:55Z,Word Embedding in PyTorch + Lightning
rC9vw2dSpQo,2023-10-07T00:30:48Z,"The Golden Play Button, Clearly Explained!!!’"
Ka04Dj7DxGk,2023-09-04T04:00:16Z,Another 3 lessons from my Pop!!!
bQ5BoolX9Ag,2023-08-28T04:00:30Z,"Decoder-Only Transformers, ChatGPTs specific Transformer, Clearly Explained!!!"
zxQyTK8quyY,2023-07-24T04:00:34Z,"Transformer Neural Networks, ChatGPT&#39;s foundation, Clearly Explained!!!"
8ZcccMzTz7Y,2023-06-19T04:00:04Z,What is a Logit?
YaQEUgIr4Mk,2023-06-12T04:00:16Z,Logistic vs Logit Functions
PSs6nxngL6k,2023-06-05T04:00:19Z,"Attention for Neural Networks, Clearly Explained!!!"
953NHzFtGHc,2023-05-15T04:00:08Z,Likelihood vs Probability
02zO75hHpZQ,2023-05-15T04:00:00Z,p-values
L8HKweZIOmg,2023-05-08T04:00:17Z,"Sequence-to-Sequence (seq2seq) Encoder-Decoder Neural Networks, Clearly Explained!!!"
LS6VX7noVWY,2023-04-16T04:00:09Z,Matrix Notation
y8xRw76i1qY,2023-04-16T04:00:33Z,Matrix Multiplication
ZYDN25N5WhQ,2023-04-01T04:00:28Z,The Ukulele: Clearly Explained!!!
ccjrsxXmfnw,2023-03-21T17:13:30Z,PCA Eigenvalues
P4aYC1kS4d0,2023-03-20T11:45:33Z,Type 1 Errors
bv9agba7blc,2023-03-20T11:46:03Z,PCA Eigenvectors
qioNUZGVH1A,2023-03-20T11:45:38Z,Type 2 Errors
oZ9SrkF_-LE,2023-03-20T11:45:51Z,Normalized Data
viZrOnJclY0,2023-03-13T04:00:23Z,"Word Embedding and Word2Vec, Clearly Explained!!!"
yOJmPkyyZ18,2023-03-07T16:00:08Z,"The AI Buzz, Episode #5: A new wave of AI-based products and the resurgence of personal applications"
3Bg2XRFOTzg,2023-03-06T05:00:01Z,CatBoost Part 2: Building and Using Trees
KXOTSkPL2X4,2023-02-27T05:00:07Z,CatBoost Part 1: Ordered Target Encoding
tc4LGTVRXV8,2023-02-21T16:00:07Z,"The AI Buzz, Episode #4: ChatGPT + Bing and How to start an AI company in 3 easy steps."
589nCGeWG1w,2023-02-13T05:00:03Z,"One-Hot, Label, Target and K-Fold Target Encoding, Clearly Explained!!!"
eJIp_mgVLwE,2023-02-06T05:00:15Z,"Mutual Information, Clearly Explained!!!"
e9U0QAFbfLI,2023-01-30T05:00:13Z,"Cosine Similarity, Clearly Explained!!!"
RHGiXPuo_pI,2023-01-24T21:21:53Z,Long Short-Term Memory with PyTorch + Lightning
1xBB8iAXxds,2023-01-24T16:00:08Z,"The AI Buzz, Episode #2: Big data, Reinforcement Learning and Aligning Models"
k3b9Mvtt6lU,2023-01-11T00:26:52Z,"The AI Buzz, Episode #1: ChatGPT, Transformers and Attention"
KiGsuKqaq0Y,2022-11-18T19:27:04Z,"Design Matrix Examples in R, Clearly Explained!!!"
LoocDAbgwlM,2022-11-18T19:22:30Z,"Design Matrices For Linear Models, Clearly Explained!!!"
R7xd624pR1A,2022-11-18T19:19:19Z,"Using Linear Models for t tests and ANOVA, Clearly Explained!!!"
mno47Jn4gaU,2022-11-18T19:14:19Z,"Multiple Regression in R, Step by Step!!!"
EkAQAi3a4js,2022-11-18T19:11:48Z,"Multiple Regression, Clearly Explained!!!"
wsi0jg_gH28,2022-11-18T19:09:00Z,"Linear Regression in R, Step by Step"
7ArmBVF2dCs,2022-11-18T19:08:44Z,"Linear Regression, Clearly Explained!!!"
bMccdk8EdGo,2022-11-18T18:55:45Z,"R-squared, Clearly Explained!!!"
YCzL96nL7j0,2022-11-07T05:00:15Z,"Long Short-Term Memory (LSTM), Clearly Explained"
c3xEDTh7Uc8,2022-11-01T15:47:08Z,The Cosine Similarity for NLP and CatBoost
zxagGtF9MeU,2022-10-31T04:00:30Z,Happy Halloween (Neural Networks Are Not Scary)
K8ykIS1x_qQ,2022-10-25T04:00:06Z,"Handmade Pasta, Clearly Explained!!!"
EzjtTh-WUWY,2022-10-18T15:55:23Z,Live Stream - More details about Target Encoding/AMA/Silly Songs
Za9wm6HWkvo,2022-10-05T04:00:22Z,Live Stream - Target Encoding/AMA/Silly Songs!!!
khMzi6xPbuM,2022-09-19T04:00:14Z,Introduction to Coding Neural Networks with PyTorch and Lightning
CHOir6-ZpkE,2022-09-04T04:00:03Z,Three more lessons from my Pop!!!
AsNTP8Kwu80,2022-07-11T04:00:06Z,"Recurrent Neural Networks (RNNs), Clearly Explained!!!"
80-Wpwf1_dg,2022-05-09T04:00:03Z,"The StatQuest Illustrated Guide To Machine Learning, Theme Song!!!"
FHdlXe1bSe4,2022-04-25T04:00:12Z,The StatQuest Introduction to PyTorch
W4sYsXGeCls,2022-04-01T04:00:09Z,"Troll 2, Clearly Explained!!!"
aH3mZjHkAbs,2022-03-22T18:39:32Z,The Binomial Distribution in 30 Seconds!!!
jth4kEvJ3P8,2022-03-14T16:00:13Z,UMAP: Mathematical Details (clearly explained!!!)
eN0wFzBA4Sc,2022-03-07T17:00:10Z,"UMAP Dimension Reduction, Main Ideas!!!"
L35fFDpwIM4,2022-02-28T17:00:11Z,"Tensors for Neural Networks, Clearly Explained!!!"
PWvfrTgaPBI,2022-02-10T17:19:53Z,"The Sensitivity, Specificity, Precision, Recall Sing-a-Long!!!"
wtLQUjfomig,2022-01-14T19:44:47Z,The Exponential Distribution
-14BImgVENA,2022-01-14T19:17:37Z,"The mean, the median, and the mode."
RDZUdRSDOok,2022-01-10T12:51:02Z,"Clustering with DBSCAN, Clearly Explained!!!"
YtebGVx-Fxw,2021-08-25T04:00:08Z,Entropy (for data science) Clearly Explained!!!
9wCnvr7Xw4E,2021-08-16T04:00:05Z,"Bayes&#39; Theorem, Clearly Explained!!!!"
_IgyaD7vOOA,2021-07-21T04:00:12Z,"Conditional Probabilities, Clearly Explained!!!"
N4ZQQqyIf6k,2021-07-13T04:00:07Z,Using Bootstrapping to Calculate p-values!!!
Xz0x-8-cgaQ,2021-07-06T04:00:15Z,Bootstrapping Main Ideas!!!
aOOaGLa8s4c,2021-06-23T20:44:27Z,Ken Jee&#39;s #66DaysOfData Challenge Clearly Explained!!!
OSPr6G6Ka-U,2021-06-22T04:00:06Z,Expected Values for Continuous Variables!!!
ilUbD7EoQnk,2021-05-27T04:00:10Z,Three (3) things to do when starting out in Data Science
_L39rN6gz7Y,2021-04-26T04:00:08Z,"Decision and Classification Trees, Clearly Explained!!!"
Llqoz1u8Pfk,2021-04-01T04:00:10Z,"Silly Songs, Clearly Explained!!!"
KLs_7b7SKi4,2021-03-29T04:00:03Z,"Expected Values, Main Ideas!!!"
HGwBXDKFk9I,2021-03-08T05:00:12Z,Neural Networks Part 8: Image Classification with Convolutional Neural Networks (CNNs)
xBEh66V9gZo,2021-03-01T05:15:01Z,Neural Networks Part 7: Cross Entropy Derivatives and Backpropagation
6ArSys5qHAU,2021-03-01T05:00:01Z,Neural Networks Part 6: Cross Entropy
M59JElEPgIg,2021-02-08T03:34:35Z,"The SoftMax Derivative, Step-by-Step!!!"
KpKog-L9veg,2021-02-08T03:34:23Z,Neural Networks Part 5: ArgMax and SoftMax
83LYR-1IcjA,2021-02-01T05:00:03Z,Neural Networks Pt. 4: Multiple Inputs and Outputs
0nK6iPpqNPU,2020-12-08T01:00:16Z,US Census Data and Contest!!!
68BZ5f7P94E,2020-11-23T09:05:29Z,Neural Networks Pt. 3: ReLU In Action!!!
GKZoOHXGcLo,2020-11-02T05:15:01Z,Backpropagation Details Pt. 2: Going bonkers with The Chain Rule
iyn2zdALii8,2020-11-02T05:00:06Z,Backpropagation Details Pt. 1: Optimizing 3 parameters simultaneously.
IN2XmBhILt4,2020-10-19T04:00:02Z,Neural Networks Pt. 2: Backpropagation Main Ideas
SEwxvjfxxmE,2020-09-07T04:00:08Z,What is AutoML? A conversation with Gnosis Data Analysis
CqOfi41LfDw,2020-08-31T04:00:03Z,The Essential Main Ideas of Neural Networks
GrJP9FLV3FE,2020-08-01T18:13:06Z,XGBoost in Python from Start to Finish
Y5tyrAxhmUc,2020-07-20T04:00:03Z,The Elements of StatQuest (Webinar)
wl1myxrtQHQ,2020-07-13T04:00:18Z,"The Chain Rule, Clearly Explained!!!"
0oc49DyA3hU,2020-07-06T04:00:01Z,"Hypothesis Testing and The Null Hypothesis, Clearly Explained!!!"
5koKb5B_YWo,2020-07-06T04:00:00Z,Alternative Hypotheses: Main Ideas!!!
8A7L0GsBiLQ,2020-06-30T17:34:48Z,Support Vector Machines in Python from Start to Finish.
isEcgoCmlO0,2020-06-15T15:36:26Z,"Live 2020-06-15!!! Bootstrapping, Main Ideas"
q90UDEgYqeI,2020-06-07T01:50:06Z,Classification Trees in Python from Start to Finish
H3EjCKtlVog,2020-06-03T12:36:37Z,"Gaussian Naive Bayes, Clearly Explained!!!"
O2L2Uv9pdDA,2020-06-03T12:35:57Z,"Naive Bayes, Clearly Explained!!!"
hGoTUyBnbxg,2020-06-01T15:35:49Z,Live 2020-06-01!!! Hypothesis Testing
Xm2C_gTAl8c,2020-05-19T04:00:08Z,"Ridge vs Lasso Regression, Visualized!!!"
ONCOkccpk3w,2020-05-18T15:42:14Z,Live 2020-05-18!!! Bayes&#39; Theorem
iiN_J9S0KLM,2020-05-04T16:39:56Z,Live 2020-05-04!!! Conditional Probability
VX_M3tIyiYk,2020-05-04T04:00:11Z,"Power Analysis, Clearly Explained!!!"
Rsc5znwR5FA,2020-05-04T04:00:11Z,"Statistical Power, Clearly Explained!!!"
HDCOUXE3HMM,2020-05-04T04:00:05Z,p-hacking: What it is and how to avoid it!
fU2PuYKsr6M,2020-04-20T16:46:34Z,Live 2020-04-20!!! Expected Values
uHK1-Q8cKAw,2020-04-06T16:49:34Z,Live 2020-04-06!!! Naive Bayes: Gaussian
i4iUvjsGCMc,2020-04-01T04:00:14Z,Bam!!! Clearly Explained!!!
JQc3yx0-Q9E,2020-03-23T04:15:00Z,How to calculate p-values
vemZtEM63GY,2020-03-23T04:00:17Z,p-values: What they are and how to interpret them
bTs-QA2oJSE,2020-03-16T13:49:34Z,Live 2020-03-16!!! Naive Bayes
8ECts3BErqk,2020-03-03T02:40:25Z,Live 2020-03-02!!! Virus Models and p-hacking
oRrKeUCEbq8,2020-03-02T05:00:06Z,XGBoost Part 4 (of 4): Crazy Cool Optimizations
iTxzRVLoTQ0,2020-02-17T14:39:56Z,Live 2020-02-17!!! Imbalanced Data and Post-Hoc Tests
ZVFeW798-2I,2020-02-10T05:00:08Z,XGBoost Part 3 (of 4): Mathematical Details
BKnM0MCGbVc,2020-02-04T02:45:07Z,"Live 2020-02-03!!! Statistical Models, Regularization, Best ML Algorithm."
pSWRT9pObX0,2020-01-20T14:34:50Z,"Live 2020-01-20!!! Favorite ML, Data Leakage, How to Learn ML"
sQ870aTKqiM,2020-01-15T17:27:49Z,StatQuest: Random Forests Part 2: Missing data and clustering
8b1JEDvenQU,2020-01-13T12:30:01Z,XGBoost Part 2 (of 4): Classification
jaXexgj2ONQ,2020-01-07T02:28:08Z,"Live 2020-01-06!!! Sample Sizes, ML vs Statistics and a Poem"
OtD8wVaFm6E,2019-12-16T14:00:04Z,XGBoost Part 1 (of 4): Regression
vP06aMoz4v8,2019-12-02T14:07:38Z,Machine Learning Fundamentals: Sensitivity and Specificity
D0efHEJsfHo,2019-11-25T10:59:44Z,"How to Prune Regression Trees, Clearly Explained!!!"
Qc5IyLW_hns,2019-11-04T13:00:06Z,Support Vector Machines Part 3: The Radial (RBF) Kernel (Part 3 of 3)
Toet3EiSFcM,2019-11-04T12:00:05Z,Support Vector Machines Part 2: The Polynomial Kernel (Part 2 of 3)
efR1C6CvhmE,2019-09-30T18:45:50Z,Support Vector Machines Part 1 (of 3): Main Ideas!!!
g9c66TUylZ4,2019-08-20T00:30:00Z,"Regression Trees, Clearly Explained!!!"
xZ_z8KWkhXE,2019-08-05T15:30:03Z,"Pearson&#39;s Correlation, Clearly Explained!!!"
qtaqvPAeEJY,2019-07-29T19:15:01Z,"Covariance, Clearly Explained!!!"
sHRBg6BhKjI,2019-07-15T18:15:02Z,Why Dividing By N Underestimates the Variance
SzZ6GpcfoQY,2019-07-15T18:15:02Z,"Calculating the Mean, Variance and Standard Deviation, Clearly Explained!!!"
4jRBRDbJemM,2019-07-11T21:15:02Z,"ROC and AUC, Clearly Explained!"
vikkiwjQqfU,2019-07-01T17:30:00Z,"Population and Estimated Parameters, Clearly Explained!!!"
vMh0zPT0tLI,2019-05-13T20:45:00Z,"Stochastic Gradient Descent, Clearly Explained!!!"
StWY5QWMXCw,2019-04-22T15:30:00Z,Gradient Boost Part 4 (of 4): Classification Details
HUzQIZLQxA0,2019-04-06T02:00:00Z,Saturday
2xudPOBz-vs,2019-04-01T23:00:02Z,Gradient Boost Part 2 (of 4): Regression Details
3CC4N4z3GJc,2019-03-25T16:00:01Z,Gradient Boost Part 1 (of 4): Regression Main Ideas
xOOrxD92Wt4,2019-03-02T22:30:01Z,Last Night
sDv4f4s2SB8,2019-02-05T16:15:01Z,"Gradient Descent, Step-by-Step"
Dr2aj85tcUI,2019-02-01T17:30:00Z,A Drink From The Well
LsK-xG1cLYA,2019-01-14T20:00:04Z,"AdaBoost, Clearly Explained"
CqLGvwi-5Pc,2019-01-08T02:00:00Z,"Design Matrices For Linear Models, Clearly Explained!!!"
F7Gqjbg3bWI,2018-12-31T14:00:04Z,Wildest Dreams
qcvAqAH60Yw,2018-12-18T00:00:03Z,ROC and AUC in R
Rvm1aMwcraY,2018-12-01T17:30:00Z,Christmas Morning
Gv9_4yMHFhI,2018-11-26T17:00:01Z,A Gentle Introduction to Machine Learning
hRdBqO4FFDs,2018-10-31T04:00:03Z,You Mean So Much
Kdsp6soqA7o,2018-10-29T14:00:01Z,Machine Learning Fundamentals: The Confusion Matrix
ctmNq7FgbvI,2018-10-23T13:30:00Z,"Ridge, Lasso and Elastic-Net Regression in R"
1dKRdX9bfIo,2018-10-08T13:06:13Z,Regularization Part 3: Elastic Net Regression
NGf0voTMlcs,2018-10-01T13:20:40Z,Regularization Part 2: Lasso (L1) Regression
G9POY1cHn50,2018-10-01T01:02:41Z,Little Red Fiat
Q81RR3yKn30,2018-09-24T16:59:00Z,Regularization Part 1: Ridge (L2) Regression
EuBBz3bI-aA,2018-09-17T16:00:42Z,Machine Learning Fundamentals: Bias and Variance
Dn6b9fCIUpM,2018-09-10T15:00:12Z,"Maximum Likelihood For the Normal Distribution, step-by-step!!!"
YAlJCEDH2uY,2018-09-03T17:04:06Z,"The Central Limit Theorem, Clearly Explained!!!"
OxA6i3iJd7M,2018-09-01T00:51:18Z,Miss Carolina
4KKV9yZCoM4,2018-08-13T15:17:38Z,"Maximum Likelihood for the Binomial Distribution, Clearly Explained!!!"
J8jNoF-K8E8,2018-08-06T19:58:36Z,"The Binomial Distribution and Test, Clearly Explained!!!"
p3T-_LMrvBc,2018-07-30T15:18:07Z,"Maximum Likelihood for the Exponential Distribution, Clearly Explained!!!"
C4N3_XJJ-jU,2018-07-26T10:58:24Z,"Logistic Regression in R, Clearly Explained!!!!"
JC56jS2gVUE,2018-07-16T16:26:47Z,Deviance Residuals
9T0wlKdew6I,2018-07-09T18:48:49Z,Saturated Models and Deviance
EH4-RtVpsy4,2018-07-01T12:30:00Z,joe and sue
8nm0G-1uJzA,2018-06-21T21:07:23Z,"Odds Ratios and Log(Odds Ratios), Clearly Explained!!!"
xxFYro8QuXA,2018-06-18T18:38:47Z,Logistic Regression Details Pt 3: R-squared and p-value
BfKanl1aSG0,2018-06-11T17:48:12Z,Logistic Regression Details Pt 2: Maximum Likelihood
vN5cNN2-HWE,2018-06-04T14:13:50Z,Logistic Regression Details Pt1: Coefficients
Glr8Qk3OZHc,2018-06-02T11:32:59Z,A War That We Can Win
4b5d3muPQmA,2018-05-23T20:18:55Z,StatQuest: K-means clustering
ARfXDSkQf1Y,2018-05-07T17:30:36Z,"Odds and Log(Odds), Clearly Explained!!!"
069WKnPyFnw,2018-04-28T19:15:50Z,Hey Dom
fSytzGwwBVw,2018-04-24T18:37:54Z,Machine Learning Fundamentals: Cross Validation
nkWGmaYRues,2018-04-16T20:12:28Z,StatQuest: A gentle introduction to ChIP-Seq
_ft2yqArm-I,2018-04-11T12:30:00Z,"StatQuest: 10,000 Subscriber Milestone"
oRvgq966yZg,2018-04-09T14:13:54Z,StatQuest: PCA - Practical Tips
FgakZw6K1QQ,2018-04-02T20:06:10Z,"StatQuest: Principal Component Analysis (PCA), Step-by-Step"
kLQD8EJmnx8,2018-04-01T17:41:45Z,Darling of Mine
pYxNSUDSFH4,2018-03-09T19:38:43Z,"In Statistics, Probability is not Likelihood."
yIYKR4sgzI8,2018-03-05T15:17:39Z,StatQuest: Logistic Regression
6EXPYzbfLCE,2018-02-26T16:44:24Z,StatQuest: Random Forests in R
J4Wdy0Wc_xQ,2018-02-05T15:55:40Z,"StatQuest: Random Forests Part 1 - Building, Using and Evaluating"
lrR9odYNNzs,2018-01-29T15:18:45Z,Love Song
wpNl-JwwplA,2018-01-29T15:06:20Z,"StatQuest: Decision Trees, Part 2 - Feature Selection and Missing Data"
Lsue2gEM9D0,2018-01-08T21:06:15Z,StatQuest: PCA in Python
kGIIJ8rIrfs,2018-01-01T13:14:47Z,She Blinded Me With Science!!!
pGAUHhLYp5Q,2017-12-18T22:56:21Z,StatQuest: MDS and PCoA in R
HMOI_lkzW08,2017-12-04T20:18:06Z,StatQuest: PCA main ideas in only 5 minutes!!!
adx4fsdwpfM,2017-11-29T13:35:13Z,Snow
0Jp4gsfOLMs,2017-11-27T14:35:50Z,StatQuest: PCA in R
ecjN6Xpv6SE,2017-11-20T10:51:06Z,"Quantile Normalization, Clearly Explained!!!"
okjYjClSjOg,2017-11-13T13:09:12Z,"Quantile-Quantile Plots (QQ plots), Clearly Explained!!!"
IFKQLDmRK0Y,2017-11-06T17:42:22Z,"Quantiles and Percentiles, Clearly Explained!!!"
Lg0okx38rOQ,2017-10-31T04:00:01Z,A Song For Only You
hokALdIst8k,2017-10-30T16:56:57Z,"Multiple Regression in R, Step-by-Step!!!"
zITIFTsivN8,2017-10-30T16:52:41Z,"Multiple Regression, Clearly Explained!!!"
67zCIqdeXpo,2017-10-23T19:41:10Z,"Sample Size and Effective Sample Size, Clearly Explained!!!"
Exk0OoRG0PQ,2017-10-09T15:20:45Z,The Difference Between Technical and Biological Replicates
rzFX5NWojp0,2017-10-09T15:12:09Z,"The Normal Distribution, Clearly Explained!!!"
Odt_r4cAD8A,2017-10-01T15:25:44Z,Employee Of The Week
qBigTkBLU6g,2017-09-25T13:38:28Z,"StatQuest: Histograms, Clearly Explained"
NEaUSP4YerM,2017-09-18T14:55:30Z,"StatQuest: t-SNE, Clearly Explained"
arSkMA2uLFU,2017-09-02T20:00:12Z,I&#39;m Alive
tlf6wYJrwKY,2017-08-31T18:28:40Z,StatQuest: A gentle introduction to RNA-seq
01205ys-GtI,2017-08-31T18:07:09Z,StatQuest: How to make a Mean Pizza Crust!!!
NF5_btOaCig,2017-08-07T15:26:19Z,"Using Linear Models for t-tests and ANOVA, Clearly Explained!!!"
UY8iYbxuzjc,2017-07-31T21:28:31Z,Brothers
XepXtl9YKwc,2017-07-31T17:26:45Z,"Maximum Likelihood, clearly explained!!!"
nk2CQITm_eo,2017-07-24T19:06:27Z,"Linear Regression, Clearly Explained!!!"
yQhTtdq_y9M,2017-07-17T15:31:28Z,What is a (mathematical) model?
fHLhBnmwUM0,2017-07-11T00:25:59Z,Boxplots are Awesome!!!
FKM7hZKYEqw,2017-07-01T14:39:57Z,Your Dark Side
HVXime0nQeI,2017-06-26T18:54:55Z,"StatQuest: K-nearest neighbors, Clearly Explained"
7xHsRkOdVwo,2017-06-20T12:33:24Z,StatQuest: Hierarchical Clustering
Vf7oJ6z2LCc,2017-06-05T17:17:53Z,"Lowess and Loess, Clearly Explained!!!"
BXeZgqXAKAU,2017-05-31T22:10:10Z,The Sum of Regrets
PaFPbb66DxQ,2017-05-22T20:37:28Z,The Main Ideas of Fitting a Line to Data (The Main Ideas of Least Squares and Linear Regression.)
Gi0JdrxRq5s,2017-05-16T13:15:19Z,"StatQuest: edgeR and DESeq2, part 2 - Independent Filtering"
XLCWeSVzHUU,2017-05-08T13:47:35Z,"Sampling from a Distribution, Clearly Explained!!!"
TGvLteZCdAc,2017-04-30T20:34:01Z,Evil Genius
bsZGt-caXO4,2017-04-24T21:17:32Z,StatQuest:  One or Two Tailed P-Values
Wdt6jdi-NQo,2017-04-03T16:19:36Z,"StatQuest: edgeR, part 1, Library Normalization"
Mgm-T-dILAQ,2017-03-31T20:28:37Z,The Rainbow
UFB993xufUU,2017-03-27T16:06:30Z,"StatQuest: DESeq2, part 1, Library Normalization"
A82brFpdr9g,2017-03-20T15:03:59Z,"Standard Deviation vs Standard Error, Clearly Explained!!!"
nnBJeb_I-q8,2017-03-06T19:51:38Z,StatQuickie: Which t test to use
aVvTVYi5vBk,2017-02-27T23:19:48Z,Mr  Hattie
KEofcJ1tfkI,2017-02-22T16:20:16Z,StatQuickie: Thresholds for Significance
K8LQSvtjcEo,2017-01-10T13:40:32Z,"False Discovery Rates, FDR, clearly explained"
MIgCbrNJyGo,2017-01-02T16:28:35Z,Psycho Killer
68e5i5D8qYU,2016-11-29T03:05:36Z,The Coldest Day of the Year
DyaQp6Cz8RA,2016-10-31T14:15:17Z,I Love You
UFhJefdVCjE,2016-10-11T17:46:29Z,p-hacking and power calculations
Rblav_ehMTE,2016-10-01T16:24:14Z,Roses
G-9USywzN3E,2016-08-31T22:15:22Z,Nasty Weather
R6ALolnItXg,2016-07-26T07:40:57Z,Maybe It&#39;ll Go Away
azXCzI57Yfc,2016-07-10T21:36:51Z,StatQuest: Linear Discriminant Analysis (LDA) clearly explained.
xXqa7sVypYI,2016-07-01T01:43:12Z,Another Day
WkjBXrX1Q2k,2016-04-01T19:42:05Z,Rachel&#39;s Song (the ballad of Hazel Motes)
oMtDyOn2TCc,2016-01-06T15:46:44Z,Drawing and Interpreting Heatmaps
K2QWmW6LKmg,2015-12-05T17:11:39Z,Christmas In Rio! (now on iTunes!)
TCrC8Vdv1_4,2015-09-30T01:06:29Z,That&#39;s Alright
gKnfP2_Xdpo,2015-08-27T19:47:18Z,StatQuest: RNA-seq - the problem with technical replicates
_UVHneBUBW0,2015-08-13T17:37:04Z,Principal Component Analysis (PCA) clearly explained (2015)
O33LgXNk87g,2015-07-01T01:37:00Z,How to puree garlic
zB7CCWQbkWs,2015-06-21T19:44:08Z,That Dude (in the movies)
fglJIFv08hs,2015-04-19T21:18:04Z,Wrapping up dumplings for pot stickers.
2AQKmw14mHM,2015-02-03T14:48:20Z,"R-squared, Clearly Explained!!!"
Sn-keVh_ERw,2014-09-28T16:12:29Z,onion-dice
yMYcH8-OfJk,2014-08-24T21:40:26Z,Cutting Butter
